 * Serving Flask app 'app'
 * Debug mode: off
2024-12-26 01:32:53.355608  - Body:  nhietdo=31, doAm=83, coNguoi=true , response_message =  den=0, dieuhoa=0
2024-12-26 01:32:55.534250  - Body:  nhietdo=-16, doAm=37, coNguoi=false , response_message =  den=0, dieuhoa=0
2024-12-26 01:32:57.663706  - Body:  nhietdo=-1, doAm=16, coNguoi=true , response_message =  den=0, dieuhoa=0
2024-12-26 01:32:59.825885  - Body:  nhietdo=71, doAm=38, coNguoi=false , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:01.933504  - Body:  nhietdo=5, doAm=36, coNguoi=false , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:04.036972  - Body:  nhietdo=48, doAm=86, coNguoi=false , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:06.180742  - Body:  nhietdo=11, doAm=99, coNguoi=true , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:08.283994  - Body:  nhietdo=74, doAm=86, coNguoi=true , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:10.393604  - Body:  nhietdo=64, doAm=6, coNguoi=true , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:12.501689  - Body:  nhietdo=19, doAm=88, coNguoi=false , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:14.630421  - Body:  nhietdo=29, doAm=42, coNguoi=true , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:16.800779  - Body:  nhietdo=1, doAm=15, coNguoi=false , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:18.898119  - Body:  nhietdo=57, doAm=99, coNguoi=false , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:21.010797  - Body:  nhietdo=77, doAm=94, coNguoi=false , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:23.124175  - Body:  nhietdo=-16, doAm=95, coNguoi=true , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:25.292446  - Body:  nhietdo=22, doAm=38, coNguoi=true , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:27.418521  - Body:  nhietdo=54, doAm=0, coNguoi=true , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:29.591569  - Body:  nhietdo=61, doAm=91, coNguoi=false , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:31.728334  - Body:  nhietdo=55, doAm=22, coNguoi=true , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:33.845717  - Body:  nhietdo=3, doAm=1, coNguoi=false , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:35.961699  - Body:  nhietdo=33, doAm=92, coNguoi=false , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:38.180783  - Body:  nhietdo=21, doAm=0, coNguoi=true , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:40.271561  - Body:  nhietdo=66, doAm=2, coNguoi=false , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:42.480740  - Body:  nhietdo=1, doAm=96, coNguoi=false , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:44.631732  - Body:  nhietdo=61, doAm=8, coNguoi=true , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:46.766479  - Body:  nhietdo=-7, doAm=36, coNguoi=false , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:48.932570  - Body:  nhietdo=69, doAm=83, coNguoi=true , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:51.073318  - Body:  nhietdo=32, doAm=72, coNguoi=true , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:53.229523  - Body:  nhietdo=2, doAm=57, coNguoi=true , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:55.330951  - Body:  nhietdo=30, doAm=72, coNguoi=true , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:57.451710  - Body:  nhietdo=16, doAm=78, coNguoi=true , response_message =  den=0, dieuhoa=0
2024-12-26 01:33:59.564995  - Body:  nhietdo=-3, doAm=24, coNguoi=true , response_message =  den=0, dieuhoa=0
2024-12-26 01:34:01.881545  - Body:  nhietdo=3, doAm=9, coNguoi=false , response_message =  den=0, dieuhoa=1
2024-12-26 01:34:04.055629  - Body:  nhietdo=74, doAm=95, coNguoi=false , response_message =  den=1, dieuhoa=1
